City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pallasovka,50.05,46.8833,15.19,36,100,5.35,RU,1680430278
1,aldan,58.6031,125.3894,-14.34,92,100,0.75,RU,1680430278
2,rikitea,-23.1203,-134.9692,26.69,82,69,6.26,PF,1680430279
3,albany,42.6001,-73.9662,1.76,72,50,3.13,US,1680430229
4,ponta do sol,32.6667,-17.1,25.95,67,0,2.54,PT,1680430281
5,sasykoli,47.5515,46.9968,15.67,33,93,5.98,RU,1680430282
6,keti bandar,24.1447,67.4497,27.86,59,2,7.81,PK,1680430283
7,jamestown,42.097,-79.2353,-1.93,74,0,5.14,US,1680430283
8,hithadhoo,-0.6,73.0833,28.13,72,96,4.59,MV,1680430284
9,puerto ayora,-0.7393,-90.3518,25.31,98,52,0.89,EC,1680430285
10,yellowknife,62.456,-114.3525,-14.63,94,99,4.89,CA,1680430072
11,chokurdakh,70.6333,147.9167,-26.35,98,13,3.94,RU,1680430287
12,bandarbeyla,9.4942,50.8122,30.04,60,18,5.01,SO,1680430289
13,neuquen,-38.9516,-68.0591,12.94,76,0,0.0,AR,1680430291
14,tuatapere,-46.1333,167.6833,9.24,78,31,2.02,NZ,1680430204
15,tommot,58.9564,126.2925,-12.92,90,100,0.54,RU,1680430292
16,krasnoye,49.9145,24.6134,9.24,83,100,5.45,UA,1680430293
17,saskylakh,71.9167,114.0833,-4.96,91,100,5.61,RU,1680430293
18,bolgar,54.95,49.0667,5.47,77,100,2.24,RU,1680430294
19,thompson,55.7435,-97.8558,-19.75,97,98,3.98,CA,1680430295
20,barrow,71.2906,-156.7887,-19.99,84,0,7.2,US,1680430048
21,saint-denis,48.9167,2.3333,8.93,87,100,6.69,FR,1680430296
22,port alfred,-33.5906,26.891,23.99,81,0,4.02,ZA,1680430296
23,nioro,13.35,-15.75,30.19,31,14,2.4,GM,1680430297
24,ahuimanu,21.4447,-157.8378,23.84,84,100,3.6,US,1680430298
25,qaanaaq,77.484,-69.3632,-24.35,57,76,2.77,GL,1680430299
26,nikolskoye,59.7035,30.7861,1.0,89,99,4.66,RU,1680430299
27,maketu,-37.7667,176.45,17.91,89,95,3.09,NZ,1680430301
28,rawson,-43.3002,-65.1023,13.57,78,0,3.07,AR,1680430250
29,samana,19.2056,-69.3369,22.28,77,4,3.06,DO,1680430303
30,jablah,35.3614,35.9256,18.16,72,75,4.12,SY,1680430304
31,kapaa,22.0752,-159.319,24.18,90,75,3.6,US,1680430304
32,tura,25.5198,90.2201,19.65,83,48,1.63,IN,1680430305
33,port blair,11.6667,92.75,29.67,59,33,0.45,IN,1680430306
34,suez,29.9737,32.5263,24.31,22,0,2.6,EG,1680430307
35,kaitangata,-46.2817,169.8464,7.47,92,35,2.24,NZ,1680430307
36,punta arenas,-53.15,-70.9167,5.06,70,0,6.17,CL,1680430095
37,saint-francois,46.4154,3.9054,8.69,89,100,5.14,FR,1680430308
38,salaverry,-8.2333,-78.9667,23.21,87,100,1.86,PE,1680430309
39,vereshchagino,58.0789,54.6557,6.11,83,100,2.94,RU,1680430310
40,busselton,-33.65,115.3333,21.45,64,11,7.18,AU,1680430310
41,juneau,58.3019,-134.4197,2.34,97,100,0.0,US,1680430154
42,vila franca do campo,37.7167,-25.4333,16.23,73,82,6.69,PT,1680430055
43,avarua,-21.2078,-159.775,25.03,88,75,3.09,CK,1680430312
44,ilulissat,69.2167,-51.1,-18.99,78,54,1.03,GL,1680430313
45,lagoa,39.05,-27.9833,13.8,74,61,13.2,PT,1680430313
46,palu,-0.8917,119.8707,25.54,94,100,0.66,ID,1680430314
47,port hardy,50.6996,-127.4199,1.67,84,38,1.36,CA,1680430315
48,hermanus,-34.4187,19.2345,24.33,64,0,4.15,ZA,1680430316
49,ribeira grande,38.5167,-28.7,15.99,72,40,11.32,PT,1680430316
50,alofi,-19.0595,-169.9187,26.32,79,25,8.34,NU,1680430317
51,vaini,-21.2,-175.2,26.09,83,20,3.09,TO,1680430318
52,cururupu,-1.8283,-44.8683,22.99,98,100,0.37,BR,1680430318
53,longyearbyen,78.2186,15.6401,-8.09,86,100,4.63,SJ,1680430319
54,grand-santi,4.25,-54.3833,20.61,100,63,0.82,GF,1680430319
55,kodiak,57.79,-152.4072,-1.27,55,0,3.09,US,1680430072
56,saint george,37.1041,-113.5841,7.33,65,0,0.0,US,1680430321
57,khatanga,71.9667,102.5,-4.44,95,100,4.85,RU,1680430321
58,gornopravdinsk,60.05,69.9,5.46,86,100,3.86,RU,1680430322
59,launceston,-41.45,147.1667,14.33,84,77,4.63,AU,1680430323
60,sokoni,-6.4333,39.55,28.33,71,100,4.2,TZ,1680430324
61,poronaysk,49.2167,143.1167,-2.28,91,12,1.31,RU,1680430324
62,san patricio,28.017,-97.5169,24.05,91,100,3.07,US,1680430105
63,baykit,61.67,96.37,-3.93,85,100,5.82,RU,1680430326
64,castro,-24.7911,-50.0119,15.05,88,89,2.81,BR,1680430068
65,bredasdorp,-34.5322,20.0403,23.83,56,14,4.45,ZA,1680430175
66,lompoc,34.6391,-120.4579,9.4,84,100,8.49,US,1680430328
67,teya,60.3778,92.6267,-4.37,86,100,7.14,RU,1680430328
68,jizan,17.3333,42.6667,32.56,48,84,4.86,SA,1680430329
69,ushuaia,-54.8,-68.3,3.81,81,0,2.06,AR,1680430330
70,algiers,36.7525,3.042,15.9,51,40,7.72,DZ,1680430049
71,hailar,49.2,119.7,10.8,44,100,5.51,CN,1680430332
72,katsuura,35.1333,140.3,12.97,75,100,9.99,JP,1680430161
73,makakilo city,21.3469,-158.0858,23.18,81,0,3.6,US,1680430334
74,vestmannaeyjar,63.4427,-20.2734,6.55,70,40,4.12,IS,1680430334
75,cairns,-16.9167,145.7667,27.97,78,100,1.03,AU,1680430335
76,santa marta,11.2408,-74.199,27.72,69,18,6.71,CO,1680430336
77,nipawin,53.3668,-104.0009,-5.88,94,100,6.71,CA,1680430337
78,paamiut,61.994,-49.6678,-4.51,62,76,5.88,GL,1680430338
79,eureka,40.8021,-124.1637,7.34,94,99,0.89,US,1680430338
80,hilo,19.7297,-155.09,22.01,90,100,2.24,US,1680430339
81,natal,-5.795,-35.2094,25.36,94,40,2.06,BR,1680430148
82,kutum,14.2,24.6667,28.06,9,28,4.54,SD,1680430340
83,kruisfontein,-34.0033,24.7314,27.71,31,0,1.48,ZA,1680430341
84,karaton,-6.3424,106.1045,26.9,76,98,3.28,ID,1680430341
85,port elizabeth,-33.918,25.5701,28.94,64,0,4.12,ZA,1680430342
86,hornslet,56.3155,10.3204,6.44,41,27,5.66,DK,1680430343
87,miesbach,47.789,11.8338,9.75,68,100,3.22,DE,1680430344
88,esperance,-33.8667,121.9,19.88,75,42,4.74,AU,1680430344
